question,expected_answer,response,correctness,context_precision,faithfulness,context_Recall,answer_relevancy,noise_sensitivity
"Ngay sau khi có con bò cái đang chửa lạc vào nhà mình, ông A đã báo ngay cho Ủy ban nhân dân xã để thông báo công khai về sự việc. Tuy nhiên, phải gần 05 tháng sau, ông H ở huyện bên mới biết và đến đề nghị ông A cho nhận lại bò của mình. Hỏi, con bò và con bê được đẻ ra trong thời gian này sẽ thuộc sở hữu của ông A hay ông H?","Theo Điều 231 Bộ luật dân sự năm 2015 quy định về xác lập quyền sở hữu đối với gia súc bị thất lạc, thì người bắt được gia súc bị thất lạc phải nuôi giữ và báo ngay cho Ủy ban nhân dân cấp xã nơi người đó cư trú để thông báo công khai cho chủ sở hữu biết mà nhận lại. Sau 06 tháng, kể từ ngày thông báo công khai hoặc sau 01 năm đối với gia súc thả rông theo tập quán thì quyền sở hữu đối với gia súc và số gia súc được sinh ra trong thời gian nuôi giữ thuộc về người bắt được gia súc.
Trường hợp chủ sở hữu được nhận lại gia súc bị thất lạc thì phải thanh toán tiền công nuôi giữ và các chi phí khác cho người bắt được gia súc. Trong thời gian nuôi giữ gia súc bị thất lạc, nếu gia súc có sinh con thì người bắt được gia súc được hưởng một nửa số gia súc sinh ra hoặc 50% giá trị số gia súc sinh ra.
Như vậy, trong trường hợp trên, sau gần 05 tháng kể từ ngày bắt được con bò cái có chửa bị thất lạc (chưa đủ 6 tháng), quyền sở hữu đối với con bò và con bê vẫn thuộc về ông H. Khi nhận lại bò cái và bê con, ông H có nghĩa vụ thanh toán cho ông A tiền công nuôi giữ và các chi phí khác. Ông A sẽ được hưởng 50% giá trị của con bê.","Theo quy định tại điểm 1 trong văn bản, sau 06 tháng kể từ ngày thông báo công khai, quyền sở hữu đối với gia súc (trong trường hợp này là bò cái và con bê) sẽ thuộc về người bắt được gia súc (Ông A).",fail,0.999999999975,0.6666666666666666,1.0,0.35183751980055006,0.0
"H là người nghiện ma túy lâu năm, mỗi khi không có tiền mua ma túy, H thường mang tài sản của gia đình đi bán. Vậy, H có thể bị Tòa án tuyên bố là người bị hạn chế năng lực hành vi dân sự hay không?","Theo Điều 24 Bộ luật dân sự thì một cá nhân bị coi là hạn chế năng lực hành vi dân sự phải đáp ứng các điều kiện do luật định. Cụ thể là: Người nghiện ma túy, nghiện các chất kích thích khác dẫn đến phá tán tài sản của gia đình thì theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án có thể ra quyết định tuyên bố người này là người bị hạn chế năng lực hành vi dân sự.
Tòa án quyết định người đại diện theo pháp luật của người bị hạn chế năng lực hành vi dân sự và phạm vi đại diện.
Việc xác lập, thực hiện giao dịch dân sự liên quan đến tài sản của người bị Tòa án tuyên bố hạn chế năng lực hành vi dân sự phải có sự đồng ý của người đại diện theo pháp luật, trừ giao dịch nhằm phục vụ nhu cầu sinh hoạt hàng ngày hoặc luật liên quan có quy định khác.
Khi không còn căn cứ tuyên bố một người bị hạn chế năng lực hành vi dân sự thì theo yêu cầu của chính người đó hoặc của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án ra quyết định huỷ bỏ quyết định tuyên bố hạn chế năng lực hành vi dân sự.
Đối chiếu với quy định trên thì H có thể bị Tòa án tuyên bố là người bị hạn chế năng lực hành vi dân sự nếu có đơn yêu cầu của gia đình H.","Có thể. H là người nghiện ma túy lâu năm và thường mang tài sản của gia đình đi bán để mua ma túy, điều này cho thấy H đã phá tán tài sản của gia đình và gây thiệt hại cho gia đình của mình. Theo yêu cầu của người có quyền, lợi ích liên quan hoặc của cơ quan, tổ chức hữu quan, Tòa án có thể ra quyết định tuyên bố H là người bị hạn chế năng lực hành vi dân sự.",pass,0.999999999975,0.6,0.6666666666666666,0.7033194489684215,0.0
"Xin cho biết, việc xác lập, thực hiện quyền sở hữu, quyền khác đối với tài sản dựa trên những nguyên tắc nào?","Theo Điều 160 Bộ luật dân sự năm 2015, việc xác lập, thực hiện quyền sở hữu, quyền khác đối với tài sản dựa trên những nguyên tắc:
1. Quyền sở hữu, quyền khác đối với tài sản được xác lập, thực hiện trong trường hợp Bộ luật này, luật khác có liên quan quy định. Quyền khác đối với tài sản vẫn có hiệu lực trong trường hợp quyền sở hữu được chuyển giao, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác.
2. Chủ sở hữu được thực hiện mọi hành vi theo ý chí của mình đối với tài sản nhưng không được trái với quy định của luật, gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác.
3. Chủ thể có quyền khác đối với tài sản được thực hiện mọi hành vi trong phạm vi quyền được quy định tại Bộ luật này, luật khác có liên quan nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của chủ sở hữu tài sản hoặc của người khác.","Các nguyên tắc xác lập, thực hiện quyền sở hữu, quyền khác đối với tài sản được quy định tại Điều 160 của Bộ luật này như sau:

- Quyền sở hữu, quyền khác đối với tài sản được xác lập, thực hiện trong trường hợp Bộ luật này, luật khác có liên quan quy định.
- Quyền khác đối với tài sản vẫn có hiệu lực trong trường hợp quyền sở hữu được chuyển giao, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác.",fail,0.999999999975,0.75,0.6,0.5148327960498505,0.0
Pháp luật dân sự quy định như thế nào về giao dịch dân sự vô hiệu do không tuân thủ quy định về hình thức?,"Theo Điều 129 Bộ luật dân sự 2015 thì giao dịch dân sự vi phạm quy định điều kiện có hiệu lực về hình thức thì vô hiệu, trừ hai trường hợp:
i) Giao dịch dân sự đã được xác lập theo quy định phải bằng văn bản nhưng văn bản không đúng quy định của luật mà một bên hoặc các bên đã thực hiện ít nhất hai phần ba nghĩa vụ trong giao dịch thì theo yêu cầu của một bên hoặc các bên, Tòa án ra quyết định công nhận hiệu lực của giao dịch đó.
ii) Giao dịch dân sự đã được xác lập bằng văn bản nhưng vi phạm quy định bắt buộc về công chứng, chứng thực mà một bên hoặc các bên đã thực hiện ít nhất hai phần ba nghĩa vụ trong giao dịch thì theo yêu cầu của một bên hoặc các bên, Tòa án ra quyết định công nhận hiệu lực của giao dịch đó. Trong trường hợp này, các bên không phải thực hiện việc công chứng, chứng thực.","Pháp luật dân sự quy định như sau về giao dịch dân sự vô hiệu do không tuân thủ quy định về hình thức:

- Giao dịch dân sự vi phạm quy định điều kiện có hiệu lực về hình thức thì vô hiệu, trừ các trường hợp sau:

 + Giao dịch dân sự đã được xác lập theo quy định phải bằng văn bản nhưng văn bản không đúng quy định của luật mà một bên hoặc các bên đã thực hiện ít nhất hai phần ba nghĩa vụ trong giao dịch thì theo yêu cầu của một bên hoặc các bên, Tòa án ra quyết định công nhận hiệu lực của giao dịch đó.

 + Giao dịch dân sự đang được thực hiện mà có nội dung, hình thức khác với quy định của Bộ luật này thì áp dụng quy định của Bộ luật dân sự số 33/2005/QH11 và các văn bản quy phạm pháp luật quy định chi tiết Bộ luật dân sự số 33/2005/QH11.

 + Trường hợp dẫn chiếu đến pháp luật của nước thứ ba thì quy định của pháp luật nước thứ ba về quyền, nghĩa vụ của các bên tham gia quan hệ dân sự được áp dụng.

 + Trường hợp quy định tại khoản 2 Điều 664 của Bộ luật này thì pháp luật mà các bên lựa chọn là quy định về quyền, nghĩa vụ của các bên tham gia quan hệ dân sự, không bao gồm quy định về xác định pháp luật áp dụng.",pass,0.9999999999,1.0,0.75,0.22101442706796517,0.3333333333333333
Trong những trường hợp nào thì được xác định là chiếm hữu có căn cứ pháp luật?,"Theo khoản 1 Điều 165 Bộ luật dân sự năm 2015, chiếm hữu có căn cứ pháp luật là việc chiếm hữu tài sản trong các trường hợp sau đây:
- Chủ sở hữu chiếm hữu tài sản.
- Người được chủ sở hữu ủy quyền quản lý tài sản.
- Người được chuyển giao quyền chiếm hữu thông qua giao dịch dân sự phù hợp với quy định của pháp luật.
- Người phát hiện và giữ tài sản vô chủ, tài sản không được xác định được ai là chủ sở hữu, tài sản bị đánh rơi, bị bỏ quên, bị chôn, giấu, bị vùi lấp, chìm đắm phù hợp với điều kiện theo quy định của Bộ luật này, quy định khác của pháp luật có liên quan.
- Người phát hiện và giữ gia súc, gia cầm, vật nuôi dưới nước bị thất lạc phù hợp với điều kiện theo quy định của Bộ luật này, quy định khác của pháp luật có liên quan.
- Trường hợp khác do pháp luật quy định.","Theo các đoạn văn được cung cấp, việc chiếm hữu có căn cứ pháp luật được xác định trong các trường hợp sau:

- Người chiếm hữu ngay tình, liên tục, công khai được áp dụng thời hiệu hưởng quyền và được hưởng hoa lợi, lợi tức mà tài sản mang lại theo quy định của Bộ luật này và luật khác có liên quan.

- Người chiếm hữu, sử dụng tài sản, người được lợi về tài sản mà không có căn cứ pháp luật nhưng ngay tình thì phải hoàn trả hoa lợi, lợi tức thu được từ thời điểm người đó biết hoặc phải biết việc chiếm hữu, sử dụng tài sản, được lợi về tài sản không có căn cứ pháp luật, trừ trường hợp quy định tại Điều 236 của Bộ luật này.

Tuy nhiên, cần lưu ý rằng việc chiếm hữu có căn cứ pháp luật còn phụ thuộc vào nhiều yếu tố khác nhau, bao gồm cả thỏa thuận của các thành viên gia đình đối với tài sản chung.",fail,0.99999999995,0.5,1.0,0.31690622188685014,0.0
"Gia đình tôi chuyển về nhà mới ở từ cuối tháng 8/2017 đến nay. Giữa tháng 8/2017, nhà sát bên phải tiến hành xây dựng nhà, đến nay gần hoàn thiện thì bên nhà tôi xuất hiện vết nứt ngang, phía tường bên nhà đang xây lún dần. Họ gợi ý sẽ sơn đắp lại vị trí vết nứt, còn hiện tượng lún thì họ nói do nhà tôi xây chất lượng kém nên phải chịu. Vậy tôi cần phải làm gì trong trường hợp của mình? Khi nhà họ đã xây xong rồi thì tôi còn có quyền yêu cầu bồi thường nữa không?","Theo quy định tại Điều 15 Nghị định số 180/2007/NĐ-CP, trường hợp công trình xây dựng gây lún, nứt, thấm, dột hoặc có nguy cơ làm sụp đổ các công trình lân cận thì phải ngừng thi công xây dựng để thực hiện bồi thường thiệt hại. Việc bồi thường thiệt hại do chủ đầu tư và bên bị thiệt hại tự thỏa thuận; trường hợp các bên không thoả thuận được thì bên thiệt hại có quyền khởi kiện đòi bồi thường tại toà án.
Theo quy định tại Điều 605 Bộ luật dân sự năm 2015, chủ sở hữu, người chiếm hữu, người được giao quản lý, sử dụng nhà cửa, công trình xây dựng khác phải bồi thường thiệt hại do nhà cửa, công trình xây dựng khác đó gây thiệt hại cho người khác. Khi người thi công có lỗi trong việc để nhà cửa, công trình xây dựng khác gây thiệt hại thì phải liên đới bồi thường.
Như vậy nếu có đủ căn cứ và bằng chứng nhà bên cạnh trong quá trình xây dựng gây ra hiện tượng lún và nứt cho nhà bạn thì bạn hoàn toàn có thể yêu cầu chủ nhà khắc phục hoặc bồi thường. Thời hiệu khởi kiện yêu cầu bồi thường thiệt hại là 03 năm, kể từ ngày người có quyền yêu cầu biết hoặc phải biết quyền, lợi ích hợp pháp của mình bị xâm phạm.","Trong trường hợp của bạn, bạn cần lưu ý rằng mốc giới giữa hai ngôi nhà liền kề là tường nhà chung. Theo quy định tại khoản 3 của văn bản, đối với mốc giới là tường nhà chung, chủ sở hữu bất động sản liền kề không được trổ cửa sổ, lỗ thông khí hoặc đục tường để đặt kết cấu xây dựng, trừ trường hợp được chủ sở hữu bất động sản liền kề đồng ý.

Tuy nhiên, trong trường hợp của bạn, có vẻ như việc xây dựng nhà của bên cạnh đã gây ra thiệt hại cho nhà bạn, bao gồm vết nứt và lún. Theo quy định tại Điều 178, trường hợp gây thiệt hại cho chủ sở hữu bất động sản liền kề, chủ sở hữu cây cối, công trình xây dựng phải bồi thường.

Khi nhà họ đã xây xong, bạn vẫn có quyền yêu cầu bồi thường. Bạn có thể yêu cầu họ bồi thường cho thiệt hại đã xảy ra, bao gồm việc sửa chữa và khắc phục vết nứt và lún.

Để giải quyết vấn đề này, bạn nên liên hệ với chủ sở hữu nhà bên cạnh và yêu cầu họ bồi thường cho thiệt hại đã xảy ra. Nếu họ không đồng ý hoặc không bồi thường, bạn có thể yêu cầu cơ quan nhà nước có thẩm quyền can thiệp và yêu cầu họ bồi thường.",pass,0.999999999975,0.4444444444444444,1.0,0.34670267669124594,0.0
"Xin hỏi, pháp luật quy định như thế nào về điều kiện của người lập di chúc?","Theo Điều 625 và điểm a khoản 1 Điều 630 Bộ luật dân sự 2015 thì người lập di chúc phải có điều kiện như sau:
- Người lập di chúc phải là người thành niên; khi lập di chúc phải minh mẫn, sáng suốt; không bị lừa dối, đe doạ, cưỡng ép có quyền lập di chúc để định đoạt tài sản của mình.
- Nếu người lập di chúc từ đủ mười lăm tuổi đến chưa đủ mười tám tuổi thì phải được cha, mẹ hoặc người giám hộ đồng ý về việc lập di chúc.","Pháp luật quy định người lập di chúc phải có đủ các điều kiện sau:

- Người lập di chúc minh mẫn, sáng suốt trong khi lập di chúc; không bị lừa dối, đe doạ, cưỡng ép (Điều 630, Khoản a).
- Nội dung của di chúc không vi phạm điều cấm của luật, không trái đạo đức xã hội; hình thức di chúc không trái quy định của luật (Điều 630, Khoản b).

Ngoài ra, còn có một số trường hợp đặc biệt cần lưu ý:

- Người từ đủ mười lăm tuổi đến chưa đủ mười tám tuổi phải được lập thành văn bản và phải được cha, mẹ hoặc người giám hộ đồng ý về việc lập di chúc (Điều 642).
- Người bị hạn chế về thể chất hoặc của người không biết chữ phải được người làm chứng lập thành văn bản và có công chứng hoặc chứng thực (Điều 642, Khoản 3).",fail,0.6388888888675925,1.0,0.3333333333333333,0.43046840653030033,0.3
"Bố đẻ tôi dân tộc Kinh còn mẹ tôi dân tộc Dao. Khi sinh tôi, được sự đồng ý của bố, mẹ tôi đã đi khai sinh cho tôi theo dân tộc của mẹ. Nay bố mẹ tôi đã ly hôn, tôi ở với bố, nên bố tôi muốn tôi sửa lại theo dân tộc Kinh của bố. Xin hỏi trong trường hợp này, tôi có quyền thay đổi dân tộc của mình không?","Điều 29 Bộ luật dân sự năm 2015 quy định về quyền xác định, xác định lại dân tộc như sau:
1. Cá nhân có quyền xác định, xác định lại dân tộc của mình.
2. Cá nhân khi sinh ra được xác định dân tộc theo dân tộc của cha đẻ, mẹ đẻ. Trường hợp cha đẻ, mẹ đẻ thuộc hai dân tộc khác nhau thì dân tộc của con được xác định theo dân tộc của cha đẻ hoặc mẹ đẻ theo thoả thuận của cha đẻ, mẹ đẻ; trường hợp không có thỏa thuận thì dân tộc của con được xác định theo tập quán; trường hợp tập quán khác nhau thì dân tộc của con được xác định theo tập quán của dân tộc ít người hơn.
3. Cá nhân có quyền yêu cầu cơ quan nhà nước có thẩm quyền xác định lại dân tộc trong trường hợp: xác định lại theo dân tộc của cha đẻ hoặc mẹ đẻ trong trường hợp cha đẻ, mẹ đẻ thuộc hai dân tộc khác nhau; xác định lại theo dân tộc của cha đẻ hoặc mẹ đẻ trong trường hợp con nuôi đã xác định được cha đẻ, mẹ đẻ của mình.
4. Việc xác định lại dân tộc cho người từ đủ mười lăm tuổi đến dưới mười tám tuổi phải được sự đồng ý của người đó.
5. Cấm lợi dụng việc xác định lại dân tộc nhằm mục đích trục lợi hoặc gây chia rẽ, phương hại đến sự đoàn kết của các dân tộc Việt Nam.
Như vậy, theo quy định trên thì pháp luật cho phép bạn có quyền được xác định lại dân tộc theo dân tộc của bố đẻ của mình. Bạn cần đến Phòng hoặc Sở Tư pháp để được hướng dẫn các thủ tục xác định lại dân tộc.","Theo thông tin bạn cung cấp, khi sinh ra, bạn được khai sinh theo dân tộc của mẹ là dân tộc Dao. Tuy nhiên, cha đẻ bạn thuộc dân tộc Kinh và mẹ đẻ bạn thuộc dân tộc Dao, nên bạn thuộc cả hai dân tộc này.

Theo quy định tại điểm a) mục 3 của văn bản, bạn có quyền yêu cầu cơ quan nhà nước có thẩm quyền xác định lại dân tộc của mình theo dân tộc của cha đẻ trong trường hợp cha đẻ, mẹ đẻ thuộc hai dân tộc khác nhau.

Vì vậy, trong trường hợp này, bạn có quyền yêu cầu cơ quan nhà nước có thẩm quyền xác định lại dân tộc của mình theo dân tộc Kinh của bố, miễn là bạn đã đủ chín tuổi trở lên và có sự đồng ý của mình.",fail,0.999999999975,0.2857142857142857,1.0,0.3067967624200132,0.0
"Hôm nay, Linh có thư nhưng Linh nghỉ ốm nên cô giáo chủ nhiệm đã nhờ Nga mang thư về cho bạn vì nhà Nga và Linh gần nhau. Nhưng thay vì đưa thư cho Linh thì Nga tò mò bóc thư của Linh đọc. Theo quy định pháp luật thì việc làm của Nga có đúng không?","Điều 38 Bộ luật dân sự năm 2015 quy định về quyền về đời sống riêng tư, bí mật cá nhân, bí mật gia đình như sau:
Đời sống riêng tư, bí mật cá nhân, bí mật gia đình là bất khả xâm phạm và được pháp luật bảo vệ. Vì vậy, việc thu thập, lưu giữ, sử dụng, công khai thông tin liên quan đến đời sống riêng tư, bí mật cá nhân, bí mật gia đình phải được người đó, các thành viên gia đình đồng ý, trừ trường hợp việc thu thập, lưu giữ, sử dụng hoặc công bố công khai thông tin này vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng.
Thư tín, điện thoại, điện tín, cơ sở dữ liệu điện tử và các hình thức trao đổi thông tin riêng tư khác của cá nhân được bảo đảm an toàn và bí mật. Việc bóc mở, kiểm soát, thu giữ thư tín, điện thoại, điện tín, cơ sở dữ liệu điện tử và các hình thức trao đổi thông tin riêng tư khác của người khác chỉ được thực hiện trong trường hợp luật định.
Như vậy, đối chiếu với các quy định trên thì việc Nga bóc thư mà không có sự đồng ý của Linh là trái quy định của pháp luật.","Theo quy định tại khoản 2 Điều 577, nếu người thực hiện công việc không có ủy quyền (trong trường hợp này là Nga) cố ý gây thiệt hại trong khi thực hiện công việc thì phải bồi thường thiệt hại cho người có công việc được thực hiện (trong trường hợp này là Linh).

Vì Nga đã bóc thư của Linh đọc mà không đưa thư cho Linh như yêu cầu của cô giáo chủ nhiệm, điều này có thể coi là hành vi cố ý gây thiệt hại. Do đó, Nga phải bồi thường thiệt hại cho Linh.

Tuy nhiên, cần lưu ý rằng nếu Nga có lý do chính đáng khiến cô không thể đưa thư cho Linh, như ví dụ cô gặp phải một tình huống bất ngờ không thể tránh khỏi, thì có thể không phải bồi thường thiệt hại.

Tóm lại, việc làm của Nga không đúng vì cô đã cố ý gây thiệt hại và phải bồi thường thiệt hại cho Linh.",fail,0.6388888888675925,0.125,1.0,0.20852629748633458,0.8333333333333334
"Bố tôi năm nay đã ngoài 70 tuổi, muốn chia tài sản là căn nhà đang ở và mảnh đất 70 m2 cho 3 anh em chúng tôi. Vì tuổi cao nên bố tôi không thể tự mình viết di chúc được, bố tôi có thể di chúc miệng được không hay bắt buộc phải lập di chúc bằng văn bản?","Căn cứ Điều 627 Bộ luật dân sự 2015 quy định về hình thức của di chúc thì di chúc phải được lập thành văn bản; nếu không thể lập được di chúc bằng văn bản thì có thể di chúc miệng, do đó, bố của bạn hoàn toàn có thể di chúc miệng chia tài sản của ông cho anh em bạn.
Bên cạnh đó, khoản 5 Điều 630 Bộ luật dân sự 2015 quy định, di chúc miệng được coi là hợp pháp nếu người di chúc miệng thể hiện ý chí cuối cùng của mình trước mặt ít nhất hai người làm chứng và ngay sau khi người di chúc miệng thể hiện ý chí cuối cùng, người làm chứng ghi chép lại, cùng ký tên hoặc điểm chỉ. Trong thời hạn 05 ngày làm việc, kể từ ngày người di chúc miệng thể hiện ý chí cuối cùng thì di chúc phải được công chứng viên hoặc cơ quan có thẩm quyền chứng thực xác nhận chữ ký hoặc điểm chỉ của người làm chứng.
Theo đó, để di chúc miệng được công nhận là hợp pháp, bố bạn có thể nhờ hai người làm chứng và tiến hành các thủ tục pháp lý nêu trên. Tuy nhiên, người làm chứng phải đáp ứng các điều kiện quy định tại Điều 632 Bộ luật dân sự 2015: không phải là người thừa kế theo di chúc hoặc theo pháp luật của người lập di chúc; hoặc người có quyền, nghĩa vụ tài sản liên quan tới nội dung di chúc; hoặc người chưa thành niên, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi.","Theo quy định tại khoản 4 Điều 630 của Bộ luật Dân sự 2005, di chúc bằng văn bản không có công chứng, chứng thực chỉ được coi là hợp pháp nếu có đủ các điều kiện sau:

- Có nội dung về di sản và người thừa kế;
- Có chữ ký của người lập di chúc.

Tuy nhiên, trong trường hợp của bạn, bố bạn không thể tự mình viết di chúc được vì tuổi cao, vì vậy cần phải có một người lập di chúc thay cho bố bạn.

Ngoài ra, để đảm bảo tính hợp pháp của di chúc, bạn có thể cân nhắc việc bố bạn ký vào một văn bản lập di chúc, sau đó có công chứng hoặc chứng thực tại cơ quan có thẩm quyền.

Như vậy, bố bạn không bắt buộc phải lập di chúc bằng văn bản, nhưng cần phải có sự tham gia của người khác để lập và xác nhận di chúc.",fail,0.9166666666361111,0.2222222222222222,1.0,0.28763723221094173,0.0
